@relation training_data_20190313_including_non_bisulfite

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {Swift,6N_PBAT,6N_sc,9N_sc,WGBS,RRBS,scNOME,UMI_RRBS,9N_PBAT,Amplicon,NOMEseq,Truseq,RNA,ChIP,ATAC,WGS}

@data
19,29,18,32,20,29,20,28,20,32,19,28,21,29,18,30,26,16,41,16,46,21,14,18,24,41,15,18,44,25,15,15,18,41,17,22,22,18,40,18,26,25,21,26,6N_sc
30,6,41,22,31,4,40,23,31,4,41,23,30,4,40,24,31,3,42,23,30,3,42,23,31,3,41,23,30,3,41,23,30,3,42,23,30,3,42,22,30,3,42,23,NOMEseq
2,75,20,1,2,1,2,93,2,1,2,93,20,3,29,46,17,3,54,24,28,2,45,22,23,2,39,33,19,4,43,31,29,2,39,27,30,2,45,20,21,2,51,23,RRBS
20,30,19,29,22,29,21,25,24,31,19,24,23,30,19,26,32,16,36,13,44,21,19,14,31,33,20,15,43,24,19,12,25,34,22,17,27,18,40,13,30,23,26,19,6N_sc
23,31,18,27,24,31,21,21,23,34,19,22,23,32,18,25,27,16,44,11,50,21,15,11,26,45,15,12,49,25,13,11,20,45,16,17,21,18,46,12,27,27,24,20,9N_sc
15,0,40,43,33,0,35,31,30,0,41,27,11,0,56,32,32,0,37,30,20,0,52,26,33,0,30,35,41,0,36,22,26,0,46,26,37,0,49,12,22,0,59,17,Amplicon
33,1,48,16,34,0,44,20,33,0,45,20,32,1,46,20,33,0,45,20,32,0,46,19,32,0,45,20,32,0,46,20,33,0,45,20,32,1,46,20,32,0,46,20,WGBS
22,31,18,28,23,32,21,22,22,34,19,23,22,32,17,27,25,15,45,13,51,21,13,14,24,47,13,14,49,25,12,13,17,47,14,19,20,18,45,15,26,28,21,23,9N_sc
21,26,20,31,23,27,20,28,22,31,20,26,24,26,20,28,35,15,33,16,41,17,24,15,34,24,25,16,40,19,24,15,33,24,25,16,30,16,36,15,32,17,32,17,6N_sc
19,30,18,31,20,31,20,27,20,32,19,27,21,29,18,29,29,15,40,14,47,20,16,15,27,39,16,16,45,24,16,14,21,38,18,21,24,18,39,17,28,22,23,25,6N_sc
