@relation training_data_summary_sorted

@attribute pos1_A numeric
@attribute pos1_C numeric
@attribute pos1_T numeric
@attribute pos1_G numeric
@attribute pos2_A numeric
@attribute pos2_C numeric
@attribute pos2_T numeric
@attribute pos2_G numeric
@attribute pos3_A numeric
@attribute pos3_C numeric
@attribute pos3_T numeric
@attribute pos3_G numeric
@attribute pos4_A numeric
@attribute pos4_C numeric
@attribute pos4_T numeric
@attribute pos4_G numeric
@attribute pos8_A numeric
@attribute pos8_C numeric
@attribute pos8_T numeric
@attribute pos8_G numeric
@attribute pos9_A numeric
@attribute pos9_C numeric
@attribute pos9_T numeric
@attribute pos9_G numeric
@attribute pos10_A numeric
@attribute pos10_C numeric
@attribute pos10_T numeric
@attribute pos10_G numeric
@attribute pos11_A numeric
@attribute pos11_C numeric
@attribute pos11_T numeric
@attribute pos11_G numeric
@attribute pos12_A numeric
@attribute pos12_C numeric
@attribute pos12_T numeric
@attribute pos12_G numeric
@attribute pos20_A numeric
@attribute pos20_C numeric
@attribute pos20_T numeric
@attribute pos20_G numeric
@attribute pos30_A numeric
@attribute pos30_C numeric
@attribute pos30_T numeric
@attribute pos30_G numeric
@attribute method {NOMEseq,9N_PBAT,6N_PBAT,6N_sc,UMI_RRBS,Swift,WGBS,Truseq,Amplicon,RRBS,scNOME}

@data
17,31,17,32,18,31,21,28,18,34,18,28,18,31,18,31,24,15,45,15,48,23,11,17,22,46,12,18,45,27,11,14,13,46,14,25,18,18,42,19,24,25,18,30,6N_sc
20,30,19,29,22,29,21,25,24,31,19,24,23,30,19,26,32,16,36,13,44,21,19,14,31,33,20,15,43,24,19,12,25,34,22,17,27,18,40,13,30,23,26,19,6N_sc
21,26,20,31,23,27,20,28,22,31,20,26,24,26,20,28,35,15,33,16,41,17,24,15,34,24,25,16,40,19,24,15,33,24,25,16,30,16,36,15,32,17,32,17,6N_sc
20,29,19,30,22,30,20,27,21,33,19,26,23,28,19,28,32,15,36,15,45,19,19,15,31,32,20,16,43,22,19,14,26,32,21,19,27,17,37,17,30,20,26,22,6N_sc
16,35,17,30,17,31,23,27,20,35,18,25,18,33,18,29,25,14,46,13,48,25,10,15,22,46,11,19,47,29,10,12,14,46,16,22,16,17,48,17,24,26,22,26,6N_sc
20,27,20,31,22,28,19,29,22,29,20,28,24,26,19,29,34,16,32,16,39,18,26,16,34,23,25,17,38,20,25,16,31,23,27,17,30,17,35,16,30,18,31,18,6N_sc
25,20,27,25,27,19,26,26,29,20,24,25,33,18,21,26,31,18,21,29,1,95,1,0,96,0,0,1,1,0,1,97,1,0,96,1,22,1,55,20,22,4,54,18,UMI_RRBS
25,20,27,25,28,20,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,23,4,54,18,UMI_RRBS
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,3,54,18,UMI_RRBS
25,20,27,26,27,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,1,96,0,0,1,1,0,1,97,1,0,96,1,22,1,55,20,23,3,54,18,UMI_RRBS
25,20,27,26,28,19,25,26,29,20,24,25,33,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,4,53,18,UMI_RRBS
25,20,27,26,28,19,25,26,29,20,24,25,34,17,21,26,30,18,21,29,1,95,1,0,96,0,0,1,1,0,1,96,1,0,96,1,22,1,55,20,22,4,53,18,UMI_RRBS
